lon,lat,vs30,z1pt0,z2pt5,vs30measured
76.50000,42.50000,6.000000E+02,1.258341E+02,7.952587E-01,0
76.50022,42.50900,3.902946E+02,3.675645E+02,1.300650E+00,0
76.50043,42.51801,4.345301E+02,3.119554E+02,1.150321E+00,0
76.50065,42.52701,4.423053E+02,3.019184E+02,1.127217E+00,0
76.50086,42.53601,4.487648E+02,2.935725E+02,1.108675E+00,0
76.50108,42.54501,4.477257E+02,2.949145E+02,1.111618E+00,0
76.50129,42.55402,4.540847E+02,2.867050E+02,1.093828E+00,0
76.50151,42.56302,4.872419E+02,2.445549E+02,1.009099E+00,0
76.50173,42.57202,4.865794E+02,2.453791E+02,1.010670E+00,0
76.50194,42.58102,4.486512E+02,2.937190E+02,1.108995E+00,0
76.50216,42.59003,4.888600E+02,2.425458E+02,1.005279E+00,0
76.50237,42.59903,5.615849E+02,1.606586E+02,8.577927E-01,0
76.50259,42.60803,5.659088E+02,1.564228E+02,8.502991E-01,0
76.50281,42.61703,5.147333E+02,2.113468E+02,9.476834E-01,0
76.50302,42.62604,6.627214E+02,8.227718E+01,7.097591E-01,0
76.50324,42.63504,8.998875E+02,1.546990E+01,5.001752E-01,0
76.50346,42.64404,7.633240E+02,4.033864E+01,6.038020E-01,0
76.50367,42.65305,6.132691E+02,1.152786E+02,7.756051E-01,0
76.50389,42.66205,5.700943E+02,1.523981E+02,8.431608E-01,0
76.50411,42.67105,7.778775E+02,3.636323E+01,5.908962E-01,0
76.50432,42.68005,7.014486E+02,6.267606E+01,6.651111E-01,0
76.50454,42.68906,6.449740E+02,9.301716E+01,7.321451E-01,0
76.50476,42.69806,5.843143E+02,1.392859E+02,8.197282E-01,0
76.50498,42.70706,4.925084E+02,2.380379E+02,9.967642E-01,0
76.50519,42.71606,5.889553E+02,1.351953E+02,8.123428E-01,0
76.50541,42.72506,6.998253E+02,6.340065E+01,6.668765E-01,0
76.50563,42.73407,7.881545E+02,3.379808E+01,5.820901E-01,0
76.50585,42.74307,7.960847E+02,3.194582E+01,5.754613E-01,0
76.50607,42.75207,8.622792E+02,2.005138E+01,5.252092E-01,0
76.50628,42.76107,8.638795E+02,1.982953E+01,5.240964E-01,0
76.50650,42.77008,6.775984E+02,7.415511E+01,6.919604E-01,0
76.50672,42.77908,8.368636E+02,2.394918E+01,5.434964E-01,0
76.50694,42.78808,9.000000E+02,1.545801E+01,5.001037E-01,0
76.50716,42.79708,8.477589E+02,2.218854E+01,5.355129E-01,0
76.50738,42.80609,9.000000E+02,1.545801E+01,5.001037E-01,0
76.50759,42.81509,9.000000E+02,1.545801E+01,5.001037E-01,0
76.50781,42.82409,9.000000E+02,1.545801E+01,5.001037E-01,0
76.50803,42.83309,7.398953E+02,4.767827E+01,6.257237E-01,0
76.50825,42.84210,9.000000E+02,1.545801E+01,5.001037E-01,0
76.50847,42.85110,9.000000E+02,1.545801E+01,5.001037E-01,0
76.50869,42.86010,9.000000E+02,1.545801E+01,5.001037E-01,0
76.50891,42.86910,9.000000E+02,1.545801E+01,5.001037E-01,0
76.50913,42.87810,9.000000E+02,1.545801E+01,5.001037E-01,0
76.50935,42.88711,9.000000E+02,1.545801E+01,5.001037E-01,0
76.50957,42.89611,7.573502E+02,4.209502E+01,6.092536E-01,0
76.50979,42.90511,7.459662E+02,4.565725E+01,6.199018E-01,0
76.51001,42.91411,6.776060E+02,7.415112E+01,6.919512E-01,0
76.51023,42.92311,8.909365E+02,1.644841E+01,5.059281E-01,0
76.51045,42.93212,9.000000E+02,1.545801E+01,5.001037E-01,0
76.51067,42.94112,8.435005E+02,2.285989E+01,5.386067E-01,0
76.51089,42.95012,8.001895E+02,3.102839E+01,5.720854E-01,0
76.51111,42.95912,7.329005E+02,5.011688E+01,6.325603E-01,0
76.51133,42.96812,8.523398E+02,2.148944E+01,5.322216E-01,0
76.51155,42.97713,9.000000E+02,1.545801E+01,5.001037E-01,0
76.51177,42.98613,8.578449E+02,2.067996E+01,5.283163E-01,0
76.51199,42.99513,7.740986E+02,3.735562E+01,5.941972E-01,0
76.51221,43.00413,9.000000E+02,1.545801E+01,5.001037E-01,0
76.51243,43.01313,6.762395E+02,7.486505E+01,6.935513E-01,0
76.51265,43.02214,9.000000E+02,1.545801E+01,5.001037E-01,0
76.51287,43.03114,8.697389E+02,1.903918E+01,5.200588E-01,0
76.51309,43.04014,8.360940E+02,2.407897E+01,5.440685E-01,0
76.51331,43.04914,6.230087E+02,1.080036E+02,7.617497E-01,0
76.51354,43.05814,7.930381E+02,3.264478E+01,5.779911E-01,0
76.51376,43.06715,7.470482E+02,4.530610E+01,6.188745E-01,0
76.51398,43.07615,6.497499E+02,9.001035E+01,7.259921E-01,0
76.51420,43.08515,4.861916E+02,2.458620E+02,1.011593E+00,0
