lon,lat,vs30,vs30measured,z1pt0,z2pt5
76.38783,43.9925,357.767,0,404.89,1.436795
76.9752,43.98351,268.2742,0,480.4807,1.99719
76.00031,43.95653,619.3716,0,110.6741,0.7668692
77.34954,43.95653,405.7102,0,348.6299,1.24427
76.84969,43.94753,288.3606,0,467.4031,1.838853
77.13681,43.93854,591.546,0,132.9522,0.8082739
77.51149,43.93854,324.4675,0,438.1434,1.606696
77.69856,43.92955,432.6266,0,314.4081,1.156112
77.07387,43.91156,434.5798,0,311.8912,1.15017
77.23597,43.90257,600,0,125.8341,0.7952587
77.89749,43.90257,670.4421,0,77.96532,0.7004162
76.22489,43.88458,368.2409,0,393.3294,1.39014
76.56179,43.88458,399.639,0,356.1624,1.265918
76.99852,43.88458,410.5574,0,342.5556,1.227478
76.72378,43.86659,306.1738,0,453.8907,1.716984
76.91075,43.8576,429.0525,0,319.0064,1.167137
77.0601,43.83961,359.1679,0,403.372,1.430386
76.06259,43.81263,752.9778,0,43.4291,0.6133023
77.14685,43.81263,600,0,125.8341,0.7952587
76.41148,43.80364,289.7296,0,466.4288,1.828915
76.98408,43.76767,349.372,0,413.7969,1.476359
77.07126,43.76767,259.0181,0,485.7542,2.079045
76.84697,43.75867,623.5402,0,107.6178,0.761007
77.34482,43.74968,247.0783,0,491.8815,2.194375
76.26167,43.74069,278.7968,0,473.9127,1.911192
76.64735,43.7227,413.9626,0,338.26,1.215934
77.21959,43.71371,241.5315,0,494.4775,2.25212
77.58041,43.71371,247.8779,0,491.4942,2.186278
77.11988,43.70472,247.7938,0,491.535,2.187127
77.9285,43.70472,248.7796,0,491.0536,2.177216
77.0202,43.69572,255.2009,0,487.7947,2.114658
77.75381,43.68673,245.7992,0,492.4938,2.207442
76.11216,43.67774,425.2171,0,323.9279,1.179187
77.44246,43.66874,277.2338,0,474.9271,1.923523
76.50992,43.65975,396.2947,0,360.2715,1.278146
76.77097,43.65975,245.2067,0,492.7748,2.213546
76.93243,43.65076,474.4738,0,260.5951,1.040224
77.13095,43.63277,231.8904,0,498.6272,2.359556
76.36052,43.62378,310.5947,0,450.2572,1.689055
77.0435,43.60579,217.3959,0,504.0432,2.540376
76.18644,43.57881,279.2744,0,473.5996,1.907453
77.29112,43.56982,272.4101,0,477.9728,1.962538
76.63316,43.56082,504.313,0,223.6843,0.9701182
76.88137,43.56082,538.4321,0,184.6534,0.9001185
76.99292,43.55183,334.468,0,428.7561,1.551858
77.17905,43.55183,258.1089,0,486.2474,2.087424
76.78185,43.54284,214.6273,0,504.9713,2.5779
77.60046,43.53384,355.7247,0,407.0874,1.446236
77.48859,43.52485,330.8369,0,432.2267,1.571358
77.88549,43.52485,346.1924,0,417.0824,1.491881
77.09153,43.51586,325.5397,0,437.1628,1.600644
77.71159,43.51586,362.8404,0,399.3499,1.413835
76.03741,43.50686,408.1571,0,345.5699,1.23574
76.32255,43.49787,424.9902,0,324.2184,1.179907
76.47132,43.49787,579.3679,0,143.7482,0.8277394
77.38874,43.49787,304.9584,0,454.8701,1.724814
76.94229,43.48888,274.7223,0,476.5291,1.943653
77.02906,43.48888,330.984,0,432.0876,1.570559
76.85539,43.47989,332.0933,0,431.0338,1.564559
76.70645,43.4619,355.6475,0,407.1701,1.446595
77.1771,43.45291,309.0086,0,451.5737,1.698976
76.79294,43.44391,295.3346,0,462.3283,1.789262
76.99112,43.44391,313.679,0,447.657,1.670068
77.04067,43.44391,267.7292,0,480.8041,2.001842
76.58228,43.43492,340.6845,0,422.6541,1.519506
76.8919,43.43492,251.2387,0,489.8312,2.152853
76.17356,43.42593,480.1423,0,253.4355,1.026186
76.94129,43.42593,275.2214,0,476.2135,1.939622
77.10227,43.42593,300.083,0,458.7145,1.756909
77.25068,43.41693,359.6794,0,402.8152,1.42806
77.33734,43.41693,385.4454,0,373.3774,1.319386
77.57258,43.41693,451.1108,0,290.5427,1.102081
76.84198,43.40794,275.4422,0,476.0735,1.937844
77.00291,43.40794,293.8094,0,463.462,1.799892
77.04004,43.40794,285.2379,0,469.5854,1.861901
77.79517,43.40794,704.389,0,61.38366,0.6619361
76.65619,43.39895,252.4604,0,489.2117,2.140939
76.978,43.39895,288.8654,0,467.045,1.835177
76.32195,43.38995,522.3213,0,202.583,0.9319505
76.9036,43.38995,317.484,0,444.3756,1.647191
76.94073,43.38995,263.4969,0,483.2607,2.038668
76.75498,43.38096,283.683,0,470.6516,1.873579
76.87872,43.38096,303.3504,0,456.1531,1.735278
77.00245,43.38096,268.6165,0,480.2768,1.994279
77.0272,43.38096,272.5197,0,477.9048,1.961635
77.05195,43.38096,299.2072,0,459.3907,1.762794
77.44791,43.38096,500.2632,0,228.5664,0.9791079
77.08891,43.37197,357.728,0,404.9323,1.436974
77.16314,43.37197,470.9993,0,265.0093,1.049007
76.50735,43.36297,299.3898,0,459.25,1.761564
76.80423,43.36297,289.3401,0,466.7069,1.831733
76.92793,43.36297,285.6784,0,469.281,1.858617
76.96504,43.36297,305.8464,0,454.1553,1.719086
76.98978,43.36297,267.6518,0,480.8499,2.002503
77.00215,43.36297,274.2282,0,476.84,1.94766
77.01452,43.36297,286.845,0,468.4692,1.849971
76.70517,43.35398,300.8734,0,458.1005,1.751631
76.84122,43.35398,323.653,0,438.8842,1.611323
76.87832,43.35398,377.0268,0,383.2794,1.353143
76.89069,43.35398,340.7011,0,422.6376,1.519422
76.90306,43.35398,285.1821,0,469.6239,1.862317
76.95253,43.35398,290.716,0,465.7201,1.821819
76.97727,43.35398,294.8058,0,462.7229,1.792934
76.98964,43.35398,285.8098,0,469.1899,1.857639
77.01437,43.35398,293.0204,0,464.0431,1.805437
77.03911,43.35398,323.5214,0,439.0035,1.612073
77.65752,43.35398,900,0,15.45801,0.5001037
